Yr_C13,Mn_C13,decimal_dateC13,13Cper_mil,season_adjC13,fitC13,season_adj_fitC13,filled_C13,season_adj_filledC13
2017,1,2017.0411,-8.52,-8.5,-8.54,-8.53,-8.52,-8.5
2017,2,2017.126,-8.58,-8.54,-8.57,-8.53,-8.58,-8.54
2017,3,2017.2027,-8.61,-8.53,-8.61,-8.53,-8.61,-8.53
2017,4,2017.2877,-8.66,-8.52,-8.68,-8.54,-8.66,-8.52
2017,5,2017.3699,-8.72,-8.55,-8.72,-8.54,-8.72,-8.55
2017,6,2017.4548,-8.68,-8.56,-8.66,-8.55,-8.68,-8.56
2017,7,2017.537,-8.54,-8.54,-8.55,-8.55,-8.54,-8.54
2017,8,2017.6219,-8.45,-8.56,-8.44,-8.55,-8.45,-8.56
2017,9,2017.7068,-8.38,-8.55,-8.38,-8.55,-8.38,-8.55
2017,10,2017.789,-8.38,-8.54,-8.38,-8.54,-8.38,-8.54
2017,11,2017.874,-8.45,-8.54,-8.45,-8.54,-8.45,-8.54
2017,12,2017.9562,-8.48,-8.51,-8.5,-8.53,-8.48,-8.51
2018,1,2018.0411,-8.57,-8.56,-8.54,-8.53,-8.57,-8.56
2018,2,2018.126,-8.59,-8.54,-8.57,-8.53,-8.59,-8.54
2018,3,2018.2027,-8.6,-8.52,-8.6,-8.52,-8.6,-8.52
2018,4,2018.2877,-8.64,-8.5,-8.66,-8.52,-8.64,-8.5
2018,5,2018.3699,-8.7,-8.52,-8.7,-8.52,-8.7,-8.52
2018,6,2018.4548,-8.61,-8.49,-8.64,-8.53,-8.61,-8.49
2018,7,2018.537,-8.53,-8.53,-8.54,-8.54,-8.53,-8.53
2018,8,2018.6219,-8.47,-8.58,-8.44,-8.55,-8.47,-8.58
2018,9,2018.7068,-8.4,-8.57,-8.39,-8.56,-8.4,-8.57
2018,10,2018.789,-8.4,-8.57,-8.41,-8.57,-8.4,-8.57
2018,11,2018.874,-8.48,-8.57,-8.49,-8.58,-8.48,-8.57
2018,12,2018.9562,-8.55,-8.58,-8.56,-8.59,-8.55,-8.58
2019,1,2019.0411,-8.65,-8.63,-8.61,-8.59,-8.65,-8.63
2019,2,2019.126,-8.63,-8.59,-8.64,-8.59,-8.63,-8.59
2019,3,2019.2027,-8.65,-8.57,-8.66,-8.59,-8.65,-8.57
2019,4,2019.2877,-8.71,-8.58,-8.72,-8.58,-8.71,-8.58
2019,5,2019.3699,-8.74,-8.57,-8.75,-8.58,-8.74,-8.57
2019,6,2019.4548,-8.71,-8.6,-8.69,-8.58,-8.71,-8.6
2019,7,2019.537,-8.57,-8.57,-8.58,-8.58,-8.57,-8.57
2019,8,2019.6219,-8.47,-8.57,-8.47,-8.58,-8.47,-8.57
2019,9,2019.7068,-8.4,-8.58,-8.41,-8.58,-8.4,-8.58
2019,10,2019.789,-8.42,-8.59,-8.42,-8.59,-8.42,-8.59
2019,11,2019.874,-8.49,-8.58,-8.5,-8.59,-8.49,-8.58
2019,12,2019.9562,-8.58,-8.61,-8.56,-8.59,-8.58,-8.61
2020,1,2020.041,-8.63,-8.61,-8.61,-8.59,-8.63,-8.61
2020,2,2020.1257,-8.62,-8.57,-8.64,-8.59,-8.62,-8.57
2020,3,2020.2049,-8.66,-8.58,-8.67,-8.59,-8.66,-8.58
2020,4,2020.2896,-8.7,-8.56,-8.72,-8.59,-8.7,-8.56
2020,5,2020.3716,-8.78,-8.61,-8.76,-8.59,-8.78,-8.61
2020,6,2020.4563,-8.69,-8.58,-8.71,-8.6,-8.69,-8.58
2020,7,2020.5383,-8.61,-8.61,-8.6,-8.61,-8.61,-8.61
2020,8,2020.623,-8.5,-8.6,-8.5,-8.61,-8.5,-8.6
2020,9,2020.7077,-8.48,-8.65,-8.44,-8.61,-8.48,-8.65
2020,10,2020.7896,-8.44,-8.6,-8.45,-8.61,-8.44,-8.6
2020,11,2020.8743,-8.53,-8.62,-8.51,-8.6,-8.53,-8.62
2020,12,2020.9563,-8.54,-8.57,-8.57,-8.6,-8.54,-8.57
2021,1,2021.0411,-8.6,-8.58,-8.61,-8.59,-8.6,-8.58
2021,2,2021.126,-8.63,-8.58,-8.64,-8.59,-8.63,-8.58
2021,3,2021.2027,-8.66,-8.59,-8.67,-8.59,-8.66,-8.59
2021,4,2021.2877,-8.71,-8.58,-8.72,-8.59,-8.71,-8.58
2021,5,2021.3699,-8.79,-8.62,-8.77,-8.6,-8.79,-8.62
2021,6,2021.4548,-8.7,-8.59,-8.71,-8.6,-8.7,-8.59
2021,7,2021.537,-8.62,-8.62,-8.61,-8.61,-8.62,-8.62
2021,8,2021.6219,-8.51,-8.62,-8.51,-8.61,-8.51,-8.62
2021,9,2021.7068,-8.45,-8.62,-8.44,-8.62,-8.45,-8.62
2021,10,2021.789,-8.47,-8.63,-8.46,-8.62,-8.47,-8.63
2021,11,2021.874,-8.51,-8.6,-8.53,-8.62,-8.51,-8.6
2021,12,2021.9562,-8.61,-8.63,-8.59,-8.61,-8.61,-8.63
2022,1,2022.0411,-8.59,-8.57,-8.63,-8.61,-8.59,-8.57
2022,2,2022.126,-8.71,-8.65,-8.66,-8.6,-8.71,-8.65
2022,3,2022.2027,-8.64,-8.56,-8.68,-8.6,-8.64,-8.56
2022,4,2022.2877,-8.71,-8.58,-8.73,-8.6,-8.71,-8.58
2022,5,2022.3699,-8.7,-8.54,-8.77,-8.6,-8.7,-8.54
2022,6,2022.4548,-8.7,-8.59,-8.71,-8.6,-8.7,-8.59
2022,7,2022.537,-8.63,-8.63,-8.6,-8.61,-8.63,-8.63
2022,8,2022.6219,-8.51,-8.61,-8.51,-8.61,-8.51,-8.61
2022,9,2022.7068,-8.48,-8.65,-8.45,-8.62,-8.48,-8.65
2022,10,2022.789,-8.44,-8.6,-8.46,-8.63,-8.44,-8.6
2022,11,2022.874,-8.55,-8.64,-8.54,-8.63,-8.55,-8.64
2022,12,2022.9562,      NaN,      NaN,-8.61,-8.64,-8.61,-8.64
