Yr_O18,Mn_O18,decimal_dateO18,O18per_mil,season_adjO18,fitO18,season_adj_fitO18,filled_O18,season_adj_filledO18
2013,6,2013.4548,0.4,0.26,0.44,0.29,0.4,0.26
2013,7,2013.537,0.36,0.19,0.45,0.28,0.36,0.19
2013,8,2013.6219,0.29,0.23,0.33,0.26,0.29,0.23
2013,9,2013.7068,-0.01,0.08,0.17,0.26,-0.01,0.08
2013,10,2013.789,-0.02,0.19,0.05,0.26,-0.02,0.19
2013,11,2013.874,0.09,0.32,0.04,0.26,0.09,0.32
2013,12,2013.9562,0.16,0.29,0.14,0.27,0.16,0.29
2014,1,2014.0411,0.28,0.29,0.27,0.28,0.28,0.29
2014,2,2014.126,0.39,0.33,0.35,0.29,0.39,0.33
2014,3,2014.2027,0.38,0.31,0.36,0.29,0.38,0.31
2014,4,2014.2877,0.36,0.28,0.37,0.29,0.36,0.28
2014,5,2014.3699,0.41,0.31,0.4,0.3,0.41,0.31
2014,6,2014.4548,0.43,0.28,0.45,0.3,0.43,0.28
2014,7,2014.537,0.43,0.27,0.46,0.3,0.43,0.27
2014,8,2014.6219,0.35,0.28,0.38,0.31,0.35,0.28
2014,9,2014.7068,0.2,0.29,0.22,0.31,0.2,0.29
2014,10,2014.789,0.23,0.45,0.11,0.32,0.23,0.45
2014,11,2014.874,0.11,0.35,0.09,0.32,0.11,0.35
2014,12,2014.9562,0.07,0.22,0.18,0.33,0.07,0.22
2015,1,2015.0411,0.34,0.38,0.31,0.34,0.34,0.38
2015,2,2015.126,0.45,0.4,0.4,0.35,0.45,0.4
2015,3,2015.2027,0.49,0.42,0.43,0.36,0.49,0.42
2015,4,2015.2877,0.4,0.32,0.45,0.37,0.4,0.32
2015,5,2015.3699,0.48,0.38,0.48,0.37,0.48,0.38
2015,6,2015.4548,0.52,0.36,0.54,0.39,0.52,0.36
2015,7,2015.537,0.48,0.31,0.57,0.4,0.48,0.31
2015,8,2015.6219,0.53,0.44,0.51,0.42,0.53,0.44
2015,9,2015.7068,0.31,0.37,0.38,0.45,0.31,0.37
2015,10,2015.789,0.3,0.49,0.27,0.47,0.3,0.49
2015,11,2015.874,0.32,0.56,0.25,0.49,0.32,0.56
2015,12,2015.9562,0.38,0.55,0.34,0.51,0.38,0.55
2016,1,2016.041,0.54,0.59,0.47,0.52,0.54,0.59
2016,2,2016.1257,0.55,0.5,0.56,0.52,0.55,0.5
2016,3,2016.2049,0.58,0.51,0.59,0.52,0.58,0.51
2016,4,2016.2896,0.58,0.51,0.59,0.52,0.58,0.51
2016,5,2016.3716,0.55,0.44,0.62,0.52,0.55,0.44
2016,6,2016.4563,0.66,0.5,0.68,0.52,0.66,0.5
2016,7,2016.5383,0.75,0.58,0.69,0.52,0.75,0.58
2016,8,2016.623,0.71,0.62,0.61,0.51,0.71,0.62
2016,9,2016.7077,0.35,0.41,0.45,0.51,0.35,0.41
2016,10,2016.7896,0.23,0.43,0.31,0.51,0.23,0.43
2016,11,2016.8743,0.23,0.47,0.27,0.51,0.23,0.47
2016,12,2016.9563,0.43,0.6,0.35,0.51,0.43,0.6
2017,1,2017.0411,0.48,0.53,0.47,0.51,0.48,0.53
2017,2,2017.126,0.58,0.54,0.55,0.51,0.58,0.54
2017,3,2017.2027,0.54,0.48,0.56,0.5,0.54,0.48
2017,4,2017.2877,0.5,0.43,0.56,0.49,0.5,0.43
2017,5,2017.3699,0.66,0.56,0.58,0.48,0.66,0.56
2017,6,2017.4548,0.53,0.37,0.63,0.47,0.53,0.37
2017,7,2017.537,0.6,0.43,0.63,0.46,0.6,0.43
2017,8,2017.6219,0.67,0.58,0.54,0.45,0.67,0.58
2017,9,2017.7068,0.39,0.45,0.38,0.44,0.39,0.45
2017,10,2017.789,0.14,0.33,0.23,0.43,0.14,0.33
2017,11,2017.874,0.16,0.39,0.18,0.41,0.16,0.39
2017,12,2017.9562,0.34,0.51,0.24,0.41,0.34,0.51
2018,1,2018.0411,0.29,0.34,0.35,0.4,0.29,0.34
2018,2,2018.126,0.4,0.36,0.44,0.4,0.4,0.36
2018,3,2018.2027,0.42,0.36,0.46,0.4,0.42,0.36
2018,4,2018.2877,0.51,0.44,0.48,0.41,0.51,0.44
2018,5,2018.3699,0.5,0.39,0.52,0.42,0.5,0.39
2018,6,2018.4548,0.52,0.36,0.59,0.43,0.52,0.36
2018,7,2018.537,0.61,0.42,0.62,0.44,0.61,0.42
2018,8,2018.6219,0.69,0.58,0.55,0.44,0.69,0.58
2018,9,2018.7068,0.41,0.47,0.38,0.43,0.41,0.47
2018,10,2018.789,0.14,0.33,0.22,0.42,0.14,0.33
2018,11,2018.874,0.23,0.47,0.16,0.41,0.23,0.47
2018,12,2018.9562,0.33,0.5,0.21,0.39,0.33,0.5
2019,1,2019.0411,0.1,0.15,0.32,0.37,0.1,0.15
2019,2,2019.126,      NaN,      NaN,0.5,0.42,0.5,0.42
2019,3,2019.2027,0.51,0.45,0.43,0.37,0.51,0.45
2019,4,2019.2877,0.47,0.41,0.44,0.38,0.47,0.41
2019,5,2019.3699,0.46,0.35,0.49,0.38,0.46,0.35
2019,6,2019.4548,0.6,0.43,0.56,0.38,0.6,0.43
2019,7,2019.537,0.48,0.28,0.58,0.39,0.48,0.28
2019,8,2019.6219,0.54,0.42,0.5,0.39,0.54,0.42
2019,9,2019.7068,0.5,0.56,0.33,0.39,0.5,0.56
2019,10,2019.789,0.15,0.35,0.18,0.38,0.15,0.35
2019,11,2019.874,0.12,0.37,0.13,0.38,0.12,0.37
2019,12,2019.9562,0.19,0.37,0.19,0.37,0.19,0.37
2020,1,2020.041,0.18,0.23,0.32,0.37,0.18,0.23
2020,2,2020.1257,0.37,0.33,0.41,0.38,0.37,0.33
2020,3,2020.2049,0.49,0.43,0.44,0.38,0.49,0.43
2020,4,2020.2896,0.51,0.45,0.45,0.39,0.51,0.45
2020,5,2020.3716,0.58,0.47,0.49,0.39,0.58,0.47
2020,6,2020.4563,0.67,0.49,0.55,0.38,0.67,0.49
2020,7,2020.5383,0.54,0.34,0.56,0.36,0.54,0.34
2020,8,2020.623,0.41,0.29,0.45,0.34,0.41,0.29
2020,9,2020.7077,0.25,0.3,0.25,0.31,0.25,0.3
2020,10,2020.7896,0.03,0.24,0.08,0.29,0.03,0.24
2020,11,2020.8743,-0.08,0.18,0,0.26,-0.08,0.18
2020,12,2020.9563,0.24,0.42,0.06,0.24,0.24,0.42
2021,1,2021.0411,0.15,0.21,0.16,0.22,0.15,0.21
2021,2,2021.126,0.22,0.18,0.23,0.2,0.22,0.18
2021,3,2021.2027,0.16,0.1,0.24,0.18,0.16,0.1
2021,4,2021.2877,0.27,0.21,0.24,0.17,0.27,0.21
2021,5,2021.3699,0.37,0.26,0.28,0.17,0.37,0.26
2021,6,2021.4548,0.31,0.13,0.36,0.18,0.31,0.13
2021,7,2021.537,0.3,0.09,0.39,0.19,0.3,0.09
2021,8,2021.6219,0.39,0.27,0.32,0.2,0.39,0.27
2021,9,2021.7068,0.11,0.17,0.17,0.22,0.11,0.17
2021,10,2021.789,0.01,0.22,0.03,0.24,0.01,0.22
2021,11,2021.874,0.08,0.34,-0.01,0.26,0.08,0.34
2021,12,2021.9562,0.04,0.23,0.08,0.27,0.04,0.23
2022,1,2022.0411,0.35,0.4,0.22,0.28,0.35,0.4
2022,2,2022.126,0.19,0.16,0.32,0.28,0.19,0.16
2022,3,2022.2027,0.4,0.34,0.34,0.28,0.4,0.34
2022,4,2022.2877,0.47,0.4,0.35,0.28,0.47,0.4
2022,5,2022.3699,0.36,0.25,0.39,0.28,0.36,0.25
2022,6,2022.4548,0.35,0.16,0.46,0.27,0.35,0.16
2022,7,2022.537,0.61,0.4,0.48,0.27,0.61,0.4
2022,8,2022.6219,0.51,0.39,0.38,0.26,0.51,0.39
2022,9,2022.7068,0.04,0.1,0.19,0.25,0.04,0.1
2022,10,2022.789,-0.12,0.1,0.03,0.25,-0.12,0.1
2022,11,2022.874,0.09,0.36,-0.02,0.25,0.09,0.36
2022,12,2022.9562,      NaN,      NaN,0.06,0.25,0.06,0.25
